Text,Difficulty
"""Avec de l’expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d’équipe, chef de plateau.""",B1
"""Vous avez entre 14 et 18 ans, vous savez jouer d’un instrument de musique (piano, violon, guitare, tambour ou autre) ou vous aimez chanter, alors nous vous invitons à participer.""",B1
"""Certains pays occidentaux mobilisent toujours dans leurs armées, et en toute légalité, des jeunes volontaires de moins de 18 ans.""",B1
"""Dans cet immeuble du XVIIIème siècle, vous trouverez des salles de cours, un hall d’exposition, une salle de spectacle et des activités pour tous les âges : des cours (échecs, langues étrangères), des expositions de dessins, des spectacles.""",B1
"""Le seul beau parler était celui des élites parisiennes et ceux qui rêvaient de s’élever socialement devaient l’adopter.""",B1
"""Leurs parents partaient élever des chèvres à la campagne.""",B1
"""Par ailleurs, Yolande, qui habite à Paris, nous explique que son quotidien est devenu très difficile en raison des locations saisonnières : Les arrivées et départs à n’importe quelle heure de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l’immeuble avec leurs valises.""",B1
"""Il a rencontré un grand succès dans les écoles.""",B1
"""En févier 2001, l’Unicef a ainsi coordonné la démobilisation de plus de 2500 enfants âgés de 8 à 18 ans qui servaient dans les rangs de l’Armée de libération des peuples du Soudan (SPLA) dans le sud de ce pays, en les acheminant dans des camps de transit.""",B1
"""Le marché de la location saisonnière peut rapporter beaucoup d’argent : en moyenne 350 € supplémentaires par mois pour les propriétaires de logements loués sur les sites internet de locations saisonnières à Amsterdam.""",B1
"""Alexiane Da Silva explique : le chien commence par apprendre les directions, aller tout droit, à droite, à gauche, faire demi-tour.""",B1
"""En France, si je parle anglais à mon fils, Mathias, il me répond plutôt en français.""",B1
"""J’ai longtemps travaillé en presse écrite , indique-t-il.""",B1
"""Que vont-ils donc faire ?""",B1
"""Lorsqu’il m’arrive de me fâcher contre mon fils, j’utilise spontanément ma langue maternelle.""",B1
"""C’est ce qu’a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo.""",B1
"""Mais le chien n’est pas le seul à apprendre !""",B1
"""Elle est hors circuit.""",B1
"""Quelques diplômes peuvent représenter un plus : – en vente, action marchande, – en assistance et conseil, vente à distance, commerce et service accueil, – en négociation et relation client.""",B1
"""Un chien comme Djengo est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l’aider dans ses déplacements quotidiens.""",B1
"""Et qu'ils prenaient en considération les peurs de leurs électeurs.""",B1
"""Les policiers font remarquer qu'ils n'ont pas attendu ces décisions pour se préoccuper des enfants qu'ils croisent tard dans la nuit.""",B1
"""En cas de non-respect, les policiers peuvent les conduire au commissariat ou chez leurs parents, avec le risque d'une amende pour la famille.""",B1
"""Le spectacle et l’exploration du monde à travers des sujets inédits et des reportages étonnants: revivre la conquête de l’Everest, découvrir la vie d’un ado sous la Révolution.""",B1
"""Ce texte invite les États à prendre toutes les mesures possibles dans la pratique pour veiller à ce que les membres de leurs forces armées qui n’ont pas atteint l’âge de 18 ans ne participent pas directement aux hostilités (Art.""",B1
"""Ce métier ne convient que pour un début de carrière, dans la vente, par exemple.""",B1
"""Au centre Jacques Prévert, l’équipe d’animation propose des activités culturelles et de loisirs mais aussi des activités sportives (gymnastique, danse, basket).""",B1
"""Avec elle, il apprendra qu’il ne faut pas aboyer sans raison, monter sur les canapés ou entrer dans les chambres.""",B1
"""Enfin, il faut savoir que l’éducation complète d’un chien guide coûte très cher et qu’en France, les dix écoles sont entièrement financées par des dons.""",B1
"""Préjugés que la neuvième semaine pour l'emploi en leur faveur, qui vient de débuter, entend combattre.""",B1
"""En cette fin de matinée, Djengo, jeune chien d’un an et demi, est au travail.""",B1
"""Il apprend ensuite tout ce qui concerne “ la recherche ”, c’est-à-dire savoir trouver et identifier les passages piétons, les pistes cyclables et les rues, s’arrêter devant les portes ou les escaliers, savoir éviter les difficultés, monter dans les transports, etc.""",B1
"""Puis il précise : Je n’ai jamais cherché à corriger ou à accentuer mon accent.""",B1
"""Lui, brun aux yeux noirs, signe particulier : marche à quatre pattes et tire la langue.""",B1
"""En France, un enfant sur cinq naît dans un foyer bilingue.""",B1
"""C’est le cas de la Coalition pour interdire l’utilisation d’enfants-soldats , association mondiale créée en 1998 et animée par le HRW (Human Rights Watch).""",B1
"""Le télévendeur renseigne la clientèle par téléphone, enregistre des commandes et effectue le suivi des clients.""",B1
"""De plus, les langues n’ont pas la même image dans la société.""",B1
"""Comme nous, ce sont des survivants.""",B1
"""La mobilisation est plus que jamais nécessaire pour modifier le regard sur le handicap , expliquent les deux associations.""",B1
"""À la radio, le journaliste Jean-Michel Aphatie a conservé les intonations de son Pays basque natal dans le Sud de la France.""",B1
"""Mais de nombreuses voix se sont élevées depuis 10 ans pour ramener l’âge minimum de cet enrôlement à 18 ans.""",B1
"""Les élus ont expliqué que ces mesures visent à protéger les jeunes des quartiers difficiles, livrés à eux-mêmes pendant les vacances scolaires et parfois poussés, par les plus grands, à commettre des délits.""",B1
"""En 1999, il m’a proposé de devenir chef du service politique.""",B1
"""Les périodes de pause sont de courte durée, le stress et la tension sont souvent présents.""",B1
"""Pendant les promenades, le jeune chien s’habituera aux bruits de la ville, aux transports et aux magasins.""",B1
"""En cause, selon beaucoup, les préjugés dont elles sont victimes.""",B1
"""Le bac en poche, le premier d’entre eux choisit d’en faire son métier.""",B1
"""L'Association pour la gestion du fonds pour l'insertion professionnelle des personnes handicapées (Agefiph) et la Ligue pour l'Adaptation du diminué physique au travail (Adapt) veulent mobiliser autour du slogan ""Agir, c'est réussir"".""",B1
"""Derrière ces jeunes, il y a très souvent des parents en grande difficulté à cause de la pauvreté ou du chômage.""",B1
"""Par exemple, lorsque le chien signale quelque chose, le maître doit comprendre le sens.""",B1
"""Je suis complètement en sécurité car j’ai une entière confiance en lui.""",B1
"""Les sites internet de locations saisonnières protestent et affirment que les problèmes de logement existaient déjà avant leur arrivée.""",B1
"""La Semaine s'est ouverte lundi sur le parvis du Trocadéro à Paris, par un événement symbolique, en présence des adjointes pour les personnes handicapées au maire de Paris.""",B1
"""Le directeur du festival a annoncé jeudi dernier la liste officielle des films choisis pour le concours : 1779 films – un chiffre plus important chaque année – ont été proposés mais seulement cinquante-quatre films originaires de vingt-six pays vont être présentés au final.""",B1
"""En parallèle, ce nouveau mode d’hébergement a provoqué une augmentation du prix du mètre carré.""",B1
"""Il est difficile d’imaginer un accent trop fort pour présenter un journal national.""",B1
"""Avant lui, les journalistes qui avaient gardé l’accent du Midi présentaient le rugby, la météo ou les spécialités régionales, au nom d’une loi très stricte : On n’accepte pas à la Comédie-Française que les comédiens parlent avec un accent régional , disait, voilà dix ans, le président de France Télévision Xavier Gouyou-Beauchamps.""",B1
"""Textes et traités Jusqu’ici, les traités internationaux sur les droits des enfants stipulaient qu’un mineur de moins de 15 ans ne pouvait être enrôlé dans un groupe armé étatique.""",B1
"""Laurent Lopez, directeur d’hôtel, est directement concerné : notre chiffre d’affaire baisse de 10 % chaque année depuis 3 ans.""",B1
"""S’appuyant sur divers traités et textes internationaux, dont la Convention relative aux droits de l’enfant, de nombreuses associations et ONG se mobilisent tous les jours dans le monde pour diminuer le nombre d’enfants enrôlés dans des groupes armés.""",B1
"""Alors, beaucoup de bruit pour rien ?""",B1
"""Ce métier n’exige pas de formation ou d’expérience professionnelle particulière.""",B1
"""M. Aphatie a été le premier à animer une émission dite sérieuse à la radio puis à la télévision.""",B1
"""En juillet 2001, des équipes issues de diverses associations ont donc pu organiser des tournées dans les casernes de ce pays pour répertorier le nombre des enfants soldats et préparer leur réintégration dans la société.""",B1
"""Soit on le trouvera ridicule et ce sera une catastrophe.""",B1
"""Tout au long de la semaine, 16 régions se mobilisent et organisent près de 80 événements.""",B1
"""En mai 2000, un Protocole facultatif à la Convention relative aux droits de l’enfant a été adopté par l’Assemblée générale des Nations unies.""",B1
"""À l’âge d’un an, il entrera dans une école pour suivre une formation pendant six à huit mois.""",B1
"""Mais un conseil: après l’inscription sur des sites internet professionnels, le candidat doit garder sa page active pour prouver ses capacités informatiques.""",B1
"""À 24 mois, les enfants connaissent une cinquantaine de mots, souligne Barbara Abdelilah-Bauer, linguiste.""",B1
"""Son accent est si naturel que cela n’a posé aucun problème.""",B1
"""Petit, il vivra d’abord dans une famille d’accueil qui lui donnera une première éducation.""",B1
"""Ce chien m’apporte beaucoup de bonheur.""",B1
"""C’est un fait inquiétant qu’on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.""",B1
"""Pendant les vacances, des ateliers de photographie et de théâtre sont proposés aux enfants et aux adolescents.""",B1
"""Ses enfants l’ont traité de fou.""",B1
"""C’est pourquoi, si près de 50 % de nos essais sont sous-traités, nous gagnerons en souplesse et éviterons la baisse momentanée de nos effectifs.""",B2
"""Ajoutons, pour parfaire ce tableau, que ces seniors ont reçu de la science la perspective d'un quart de siècle de longévité supplémentaire traversé en relative bonne santé.""",B2
"""Les sexagénaires sont jeunes.""",B2
"""Sur un site internet, la présidente d’une association de lycéens s’en réjouit : Les examens doivent être le miroir de la vie réelle et quand vous écrivez des rapports au travail, vous utilisez internet .""",B2
"""Donc des épreuves qui font appel à la réflexion, aux capacités de synthèse afin de vérifier que les élèves n’ont pas seulement appris mais compris .""",B2
"""Vous procéderez au paiement sécurisé en ligne de l’opération.""",B2
"""Ce phénomène, c'est l'apparition d'une génération inédite.""",B2
"""Aujourd’hui, pour produire la même quantité de minerai de fer, il faut extraire deux fois plus de terre qu’il y a vingt ans , remarque le directeur de Récylum.""",B2
"""Dernier point : il reste à décider si nous externalisons la totalité de nos 19 centres de recherche clinique dans le monde ou seulement certains d’entre eux pour continuer à maîtriser la qualité et la sécurité de toute la chaîne de notre activité.""",B2
"""Mais ces nouveaux seniors ne sont pas vieux, ou tout au moins ne se sentent pas âgés.""",B2
"""Et, en France, la classe politique pourrait bien ressembler, tout du moins en nombre d'années, à un pouvoir gris .""",B2
"""Lorsqu’un cinéaste adapte un livre au cinéma, il donne sa propre vision de ce livre.""",B2
"""Les maths font-elles peur aux femmes ?""",B2
"""Elle ajoute qu’une interdiction totale est impossible à gérer.""",B2
"""Le plus souvent, on insiste sur les causes négatives de cet allongement : l'errance de petit job en emploi précaire, la difficulté et le stress des études.""",B2
"""Le délai est d’un maximum de 24 h comme l’impose le texte de loi de 1984.""",B2
"""Pourtant, il reste, dans le monde de la science, quelques domaines qui semblent réservés aux hommes.""",B2
"""Ils s’occupent de leurs enfants parce qu’ils en ont envie, parce qu’ils aiment ça, et surtout parce qu’ils ne voient absolument pas pourquoi ils devraient laisser la mère se débrouiller avec les rendez-vous chez le pédiatre, les réunions à l’école, les promenades au square du coin.""",B2
"""Mais aucune femme n’a encore eu la médaille Fields, l’équivalent du prix Nobel pour les mathématiques.""",B2
"""Dominique Mignon, directrice de développement à Éco-Systèmes (le principal des quatre éco-organismes de gestion des déchets d’équipements électriques et électroniques), attribue ce retard aux dates fixées par la législation : Les producteurs doivent prendre en charge uniquement les déchets des appareils vendus à partir du 13 août 2005.""",B2
"""Elle prendra un pseudonyme masculin pour poursuivre ses travaux qui, revisités il y a peu, ont montré qu’elle avait imaginé les prémisses des travaux de Poincaré.""",B2
"""Or, quand les papy-boomers seront à la retraite, ils auront encore plus de temps.""",B2
"""Désormais, carte ou forfait, ses enfants gèrent leurs dépenses avec leur argent de poche.""",B2
"""Nous assistons à la montée des médicaments génériques et il devient difficile de renouveler les produits.""",B2
"""Toutefois, il faut aussi être capable d’identifier les informations les plus pertinentes : une chose est de savoir lire, une autre est de savoir chercher des informations sur le net, et une troisième est de les vérifier, et de s’assurer de leur validité.""",B2
"""Tous les collèges ne sont pas équipés de casiers .""",B2
"""Le vieillissement était jusqu'il y a peu une stricte affaire de famille.""",B2
"""Et, en France, beaucoup moins de filles que de garçons vont choisir la voie des sciences dites dures , parmi lesquelles les mathématiques.""",B2
"""Le ministère devrait ouvrir le débat à tous les acteurs de l’école.""",B2
"""Pour ces États qui croulent sous le poids d'une dette extérieure souvent insoutenable, les revenus sylvicoles en devises constituent une part importante de leur budget et de leur produit intérieur brut.""",B2
"""Idem pour ceux qui les élisent.""",B2
"""Les parents qui ont du mal à couper le cordon s'étonnent que leurs enfants préfèrent brancher leur boîte vocale et ne répondent pas à leurs appels.""",B2
"""Même pour les plus futés, l'usage du mobile n'est pas si simple : Ce n'est pas toujours fiable , on n'entend pas bien et, telle une litanie, c'est cher .""",B2
"""Vieux ne veut pas forcément dire réac.""",B2
"""Et pour éviter les risques de tricherie, les élèves n’auront pas le droit d’utiliser de messagerie instantanée, pas plus que les traducteurs automatiques, et leurs écrans seront de toute façon contrôlés, de manière aléatoire, par des surveillants.""",B2
"""Mis en place par l’éco-organisme Récylum, ce dispositif intéresse en premier lieu les entreprises du bâtiment, mais aussi les industries et les collectivités territoriales, qui détiennent du matériel (alarmes incendie, caméras de surveillance) qui ne fonctionne plus.""",B2
"""Tous se disent actifs, se sentent jeunes et le sont.""",B2
"""Le risque est moins celui de la répression familiale et morale qui empêche de vivre que celui du stress, de la peur d'échouer et de trahir les projets d'une famille.""",B2
"""Tout cela réintroduit du secret, de l'oxygène et du ciel bleu dans la cohabitation entre parents et enfants, même s'il faut discuter de nouvelles normes d'usage afin de maintenir la convivialité et les liens familiaux.""",B2
"""Pourtant, beaucoup de filles s’estiment bonnes en maths , mais n’ont jamais envisagé d’y faire carrière ; un premier indice expliquant peut-être le faible nombre de femmes en mathématiques.""",B2
"""Cependant dans certains cas, les exploitants veulent rentabiliser leur concession au maximum et dans des délais beaucoup trop courts d'un point de vue écologique.""",B2
"""Une équation, entre autres, porte son nom.""",B2
"""Paradoxalement, les obligations réglementaires très strictes facilitent le développement de la sous-traitance et renforceront par conséquent notre dynamisme économique.""",B2
"""De toute façon, quels que soient le nombre et le type de sous-traitants, nous devons garder la maîtrise de toute la chaîne, puisque nous sommes responsables de nos médicaments.""",B2
"""Créatrice d'emplois, la filière permet aussi de rééquilibrer une balance commerciale souvent désavantageuse, tout en diversifiant les activités locales.""",B2
"""Pourtant, en 2006, le choc démographique sera rude.""",B2
"""Mais, passé les restrictions préliminaires, ils trouvent ça génial .""",B2
"""Il est donc de plus en plus anachronique de ne voir en la vieillesse qu'une image morbide de rigidité, de conservatisme et de décrépitude.""",B2
"""De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.""",B2
"""Pour le directeur de Récylum, Hervé Grimaud, ce n’est pas le recyclage mais la collecte de ces déchets qui posait problème jusqu’à présent.""",B2
"""De plus, je dirais que l’adaptation cinématographique peut donner envie de lire le livre à des gens qui ne s’intéressent pas à la lecture d’habitude.""",B2
"""Quand vous disposez de tous vos fichiers numérisés, vous pouvez effectuer la formalité en ligne en remplissant le formulaire interactif que vous validerez en fin de saisie.""",B2
"""Les randonneurs sont rares, et souvent médiocres.""",B2
"""Ce constat est simple : la collecte des informations étant désormais, en grande partie, confiée aux ordinateurs, pourquoi demander aux élèves de mémoriser par cœur des données que l’on peut relativement facilement retrouver sur l’internet ?""",B2
"""Aujourd’hui, plus aucun grand laboratoire de médicaments ne peut rester isolé.""",B2
"""Ils sont en général bien portants, soucieux de leur apparence, avides de loisirs, de voyages et de sport.""",B2
"""En règle générale, l'exploitation sélective qui en résulte n'entraîne pas de déboisement massif.""",B2
"""On est frappé par le jugement acerbe qu'émettent certains adolescents quand ils évoquent les possesseurs de portable de leur âge.""",B2
"""En allant dans le détail, on voit que les filles ont, au début, un petit avantage pour le calcul, avantage qui disparaît par la suite.""",B2
"""Conservation ou exploitation ?""",B2
"""Les dernières études d’imagerie cérébrale confirment qu’il y aurait bien une différence, non de capacité, mais de fonctionnement du cerveau des hommes et des femmes, en fonction de leurs centres d’intérêt.""",B2
"""Ce n’est de la faute de personne, mais il faudrait désacraliser les mathématiques.""",B2
"""Souvent, elle se passe bien, mais cela ne se voit guère ; la jeunesse heureuse paraît toujours un peu niaise.""",B2
"""Loin d'être forcément une manifestation de désobéissance, cela est plutôt une saine réaction d'indépendance .""",B2
"""Dernièrement, le ministre de l’éducation nationale a souhaité durcir l’interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n’est pas suffisamment appliquée parce qu’aucune sanction n’est prévue.""",B2
"""Au rythme d'une vingtaine de terrains de football par minute.""",B2
"""Intégrer internet c’est aussi faire un lien entre l’École et la vie réelle des adolescents, tous natifs numériques .""",B2
"""Nous devons rendre des comptes à l’ensemble des consommateurs et à notre politique nationale de santé.""",B2
"""En 2007, moins de 8% des déchets des entreprises ont fait l’objet d’une collecte sélective.""",B2
"""D'abord, la dernière élection présidentielle, où le vote pour le Front national fut autant le fait des jeunes électeurs que de leurs aînés.""",B2
"""Une indemnité versée aux cyclistes utilisant leur vélo pour se rendre au travail permet de réduire le coût d’achat du vélo et de participer aux frais d’entretien , précise Olivier Schneider, président de la FUB qui invite à ne pas voir le dispositif comme un privilège donné aux cyclistes, mais comme une façon de mettre le vélo sur un pied d’égalité avec les autres modes de transport.""",B2
"""Catherine Nave-Bekhti, secrétaire générale du Sgen-CFDT , juge cette nouvelle interdiction inutile.""",B2
"""La jeunesse est heureuse quand elle ne devient pas une contrainte.""",B2
"""À mi-parcours, il doit souvent faire demi-tour.""",B2
"""Une fois que vous vous êtes muni des pièces et documents demandés, vous les scannez et les enregistrez sous format numérique.""",B2
"""Mais une différence apparaît en fin de cursus scolaire, les garçons prenant dans ce dernier domaine un avantage sur les filles.""",B2
"""On semble oublier que le personnel en milieu scolaire applique déjà cette mesure, comme le rappelle Lysiane Gervais, secrétaire nationale du SNPDEN-Unsa : Dans 97 % des collèges, l’utilisation du portable est interdite.""",B2
"""Le problème, c’est que cette indemnité vélo n’est pas obligatoire et que moins de 1 % des actifs français travaillent pour une structure qui la propose à ses employés , pointe un rapport d’associations.""",B2
"""Selon le responsable d’une fédération de parents d’élèves, il y aurait autant de parents favorables à l’interdiction des téléphones portables qu’à leur autorisation.""",B2
"""C’est le principe de responsabilité élargie du producteur, initié par la directive européenne de 2003, qui leur impose de prendre en charge la fin de vie de leurs appareils.""",B2
"""Y a-t-il, ou y a-t-il eu, des génies féminins des mathématiques ?""",B2
"""La société française ne s'est jamais demandé comment accompagner le vieillissement inexorable de sa population, analyse Patrice Leclerc, de la Fondation de France.""",B2
"""Le concept est simple : chaque ménage peut déposer son appareil hors d’usage contre l’achat d’un neuf chez le même distributeur.""",B2
"""Dans certains pays, la prise de décision est aux mains d'un petit groupe de personnes ou de clans au sein du gouvernement qui considèrent les forêts primaires comme une source de revenus personnel à court terme, ce qui entraîne la conclusion de contrats rapportant principalement des bénéfices à l'investisseur et à certains fonctionnaires.""",B2
"""Presque tous les jeunes déclarent aimer leur collège ou leur lycée.""",B2
"""Quand on est sur le terrain, on s’en rend bien compte.""",B2
"""Enfin, les producteurs s’inquiètent de la pollution que peuvent entraîner ces équipements qui contiennent parfois des substances dangereuses.""",B2
"""Les jeunes sont moins soumis aux impératifs moraux qu'à ceux du succès.""",B2
"""L’accès par voie électronique de l’ensemble des formalités au registre du commerce et des sociétés.""",B2
"""Le sans-gêne, la frime sont critiqués.""",B2
"""On peut donner plein d’exemples : détails du livre éliminés dans le film, changements concernant l’intrigue, acteurs qui ne correspondent pas à l’image des personnages qu’on s’était faite pendant la lecture.""",B2
"""Tout d’abord, en externalisant la chaîne de production, nous diminuerons les coûts d’investissement pour la production et les frais de stockage des produits.""",B2
"""Aussitôt que le registre du commerce aura reçu le dossier de modification, la plate-forme vous enverra une réponse électronique appelée accusé de réception .""",B2
"""En brisant le fatum des itinéraires sociaux, en augmentant le temps de la formation, en accroissant l'autonomie des individus, les sociétés modernes ont inventé la jeunesse et celle-ci ne cesse de s'allonger, jusqu'à 25 ans et au-delà.""",B2
"""La conclusion a alors été rapidement et solidement établie : le cerveau plus petit des femmes faisait que leurs capacités intellectuelles étaient limitées.""",B2
"""On peut montrer le nouveau père en exemple à destination d’autres pères moins impliqués, mais sans en faire ni un objet de curiosité ni un héros absolu auquel il faudrait dresser une statue.""",B2
"""S'il n'est pas moralement condamnable de vivre une passion amoureuse, mieux vaut qu'elle ne compromette pas la mention au baccalauréat.""",B2
"""La jeunesse moderne est construite comme une double épreuve.""",B2
"""Dans la plupart des cas, ils désignent moins les cours et les enseignants que l'espace d'une vie ponctuée par les conquêtes progressives d'une liberté nichée dans les interstices de l'organisation scolaire : le temps des amours et des amitiés, celui des premières fois, avec la ronde des mini-bandes, des codes cachés et des fous rires.""",B2
"""Les enseignants font réfléchir leurs élèves quant à leur utilisation du numérique, aux conséquences de ce qu’ils y écrivent, au droit à l’image et au respect de l’autre.""",B2
"""Une fois franchi le seuil de l'entrée, on peut apercevoir, dans un coin, un tas de chaussures sombres, puis, tel un arc-en-ciel, une rangée de téléphones portables.""",B2
"""Or, il y a eu des pères modernes avant la génération actuelle.""",B2
"""Jean-Luc Nothias s’interroge sur les vraies raisons de la faible présence féminine dans cette discipline.""",B2
"""Simultanément des forestiers se convertissent à l'aménagement afin de procéder à une exploitation sylvicole rationnelle.""",B2
"""C'est cela, être cool, c'est apprendre à mesurer au plus juste ses investissements et ses sacrifices afin de prolonger le temps de la jeunesse et de ses expériences.""",B2
"""Même si on adore un livre, il faut, je pense, accepter que certains passages du livre soient coupés ou modifiés, car le travail d’écriture est complètement différent du travail d’adaptation cinématographique.""",B2
"""Alors qu'ils représentent 20 % de la population, les retraités forment déjà 30 % des électeurs.""",B2
"""Leur histoire est en effet aussi celle de la fin des certitudes.""",B2
"""En effet, il y a des éléments qu’on ne pourrait pas mettre dans un film pour des questions techniques.""",B2
"""Ce sont des pères, point final.""",B2
"""Reste que la bonne gouvernance apparaît comme un facteur capital pour l'avenir de la forêt.""",B2
"""À chaque fois, je suis déçue, je n’arrête pas de critiquer les différences entre le livre et le film.""",B2
"""La preuve aussi avec l'adoption de l'euro.""",B2
"""Contrairement aux personnes qui vont au cinéma pour voir l’adaptation de leur roman préféré, moi, je fais l’inverse : la plupart des livres que je lis aujourd’hui, je les ai découverts à travers les films que j’ai beaucoup aimés au cinéma.""",B2
"""Les 120 entreprises partenaires chargées du financement de la filière paieront près de 100 euros la tonne de déchets, en fonction des équipements mis sur le marché.""",B2
"""Une toute récente étude a tenté de comprendre pourquoi il y avait tellement plus de mathématiciens que de mathématiciennes.""",B2
"""Une question d’usages Pour le rédacteur en chef du Café pédagogique, l’initiative a aussi l’intérêt d’accéder à un espace que l’École a bien du mal à investir : celui des pratiques sociales des adolescents.""",B2
"""En effet, l’industrie pharmaceutique est un métier où le contrôle de la qualité est essentiel.""",B2
"""À 60 ans aujourd'hui, on a encore devant soi vingt-cinq, voire trente années , explique Patrice Leclerc, responsable du programme personnes âgées à la Fondation de France.""",B2
"""Les appareils pouvant être recyclés à 85% de leur poids environ, l’enjeu est important.""",B2
"""Née entre 1936 et 1950, elle fête aujourd'hui ses 50-55 ou 65 ans et paraît en tout point hors norme.""",B2
"""Le port à la ceinture aussi, de même que la panoplie de la frimeuse accomplie , décrite en ces termes : Doudoune volumineuse, chaussures à talon compensé et l'Indispensable Téléphone Portable.""",B2
"""La liberté n'a alors pas de prix : Pouvoir être joint ou appeler de n'importe quel endroit, ou presque ; pouvoir décider à la dernière minute ce qu'on va faire le soir ; téléphoner à n'importe quelle heure (si le portable est branché, cela signifie qu'on ne dérange pas) ; être appelé même la nuit, sans réveiller la maisonnée ; enfin, être sûr que ses messages ne seront pas écoutés, parce qu'ils n'atterrissent plus sur le répondeur familial.""",B2
"""Il a également la possibilité de verser des indemnités kilométriques à ceux qui utilisent leur véhicule personnel pour se rendre au travail.""",B2
"""Vous pouvez également poser une question en ligne aux juristes du greffe qui vous répondent très rapidement.""",B2
"""Or, il y a aussi, certains le reconnaissent, une sorte de problème d’image des maths.""",B2
"""La dématérialisation fait désormais partie du quotidien !""",B2
"""Bref, tant que le partage équitable de l’éducation des enfants ne sera pas considéré comme une normalité, tant que les enfants seront considérés comme de charmants accessoires destinés à se faire bien voir ( regardez-moi, regardez-moi, je suis un papa moderne ), tant que n’importe quel passant chantera les louanges du père un tant soit peu actif, la partie n’est pas gagnée !""",B2
"""Loin de faire l'unanimité, le téléphone mobile est souvent comparé à un cordon ombilical qui entrave l'autonomie, maintient la dépendance, infantilise.""",B2
"""Mais ce n'est pas là le seul effet secondaire.""",B2
"""Plusieurs pays ont commencé à appliquer les principes d'une gestion intelligente d'une ressource longtemps considérée comme inépuisable.""",B2
"""C’est le moment de l’orientation vers les études supérieures.""",B2
"""Faut-il redouter une gérontocratie à la française ?""",B2
"""Une appellation introduite en 1972, très pratique à utiliser dans le cadre des magazines télévisés ou des hebdomadaires de société, puisqu’en deux mots tout est dit.""",B2
"""En outre, nous espérons réduire les délais de commande en exigeant des sous-traitants une très grande réactivité.""",B2
"""Car il n’y a rien de plus irritant que les prétendus pères idéaux qui s’occupent de leurs enfants dans les moments les plus cools, donnant sur les photos une impression d’harmonie.""",B2
"""Or, aujourd’hui, ces appareils commencent à peine à arriver en fin de vie.""",B2
"""Aujourd’hui le greffe électronique est à la disposition des entrepreneurs.""",B2
"""Les outils numériques contribuent à la formation des élèves.""",B2
"""Selon moi, une adaptation a beaucoup plus de chances de nous décevoir que de nous plaire.""",B2
"""De toute façon, on peut se dire que, plus tard, avoir un portable, ce sera aussi naturel que d'avoir un baladeur ou une télé.""",B2
"""Ensuite, nous pouvons difficilement prévoir la quantité d’essais à gérer en parallèle.""",B2
"""De plus, les élèves ont des téléphones portables au collège car ils sont équipés par leurs parents qui veulent pouvoir joindre leur enfant après la classe, parce que ça les rassure.""",B2
"""Après l’ouverture en juin 2007 de l’enregistrement des entreprises via Internet, le greffe du tribunal de commerce de Paris lance les formalités de modification en ligne (statut, adresse, coordonnées, effectif, capital) des entreprises.""",B2
"""Il ne faut pas oublier que les contrôles se renforcent partout.""",B2
"""Une étude récente montre cependant que les cyclistes sont d’abord demandeurs de plus de sécurité et de stationnements vélo, aux abords des gares en particulier.""",B2
"""Plus généralement, il accompagne le bouillonnement et le désir de communication immédiate de l'adolescence.""",B2
"""Sur le continent africain, qui recèle un cinquième des forêts tropicales du monde, il est délicat d'établir un palmarès des risques que connaissent les zones exposées.""",B2
"""Il faut justement que le phénomène dure, qu’il s’étende, qu’il ne soit pas un feu de paille mais qu’il contamine peu à peu de plus en plus de pères prenant enfin conscience qu’il est absolument nécessaire et totalement normal de s’occuper de leurs enfants 50% du temps.""",B2
"""La chasse est également liée à l'exploitation forestière, le commerce du gibier offrant des possibilités lucratives.""",B2
"""D'autre part les pays détenant une partie de la forêt tropicale en font une source de revenus optimale à court terme.""",B2
"""Si un élève utilise son téléphone ou s’il sonne en cours, l’appareil est confisqué et remis aux parents .""",B2
"""La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ça a libéré ma ligne , déclare-t-elle.""",B2
"""Car cela réduit la diversité de notre planète.""",B2
"""Un résultat largement inférieur à celui des déchets ménagers, qui forment la grande majorité des quelque 2 millions de tonnes de déchets électroniques produits chaque année en France, selon l’Agence de l’environnement et de la maîtrise d’énergie (Ademe).""",B2
"""Comme toujours, l’histoire peut apporter des enseignements intéressants.""",B2
"""Pour éviter un oubli, vous pouvez consulter le Guide des formalités en ligne sur le site internet, rubrique Formalités en ligne et modifications pour retrouver toutes les informations utiles.""",B2
"""Nous comprenons qu’une partie du personnel soit mécontente et méfiante mais nous prendrons toutes les mesures pour éviter que cela nuise au personnel et à notre image de marque.""",B2
"""Pour le reste, il faut aussi permettre aux jeunes de ne plus l'être quand la jeunesse a fait son temps, et il n'y a guère d'autre manière d'être adulte qu'en s'appuyant sur un emploi suffisamment stable pour construire des projets de vie.""",B2
"""Et chaque hiver constitue une nouvelle menace.""",B2
