Text,Difficulty,Text_english_translation
"Et on ira manger une gaufre juste après, ça te dit ?",A1,"And we&#39;ll go eat a waffle right after, do you think?"
J'ai hâte !,A1,I look forward !
Je m’appelle Hugo et j’ai seize ans.,A1,My name is Hugo and I am sixteen years old.
"Aujourd’hui, avec mes parents et ma sœur nous partons en voyage.",A1,"Today, with my parents and my sister, we are going on a trip."
"Ma sœur s’appelle Laura, elle a treize ans.",A1,"My sister&#39;s name is Laura, she is thirteen years old."
Nous sommes à l’aéroport : direction Barcelone en Espagne !,A1,We are at the airport: direction Barcelona in Spain!
"J’ai déjà pris l’avion car nous sommes allés à Rome en Italie, il y a deux ans.",A1,I have already flown since we went to Rome in Italy two years ago.
"A Barcelone, mes parents ont réservé un appartement près de la plage.",A1,"In Barcelona, my parents booked an apartment near the beach."
Mes parents souhaitent louer des vélos pour visiter Barcelone.,A1,My parents want to rent bikes to visit Barcelona.
"Ils veulent admirer la célèbre Sagrada Familia, se balader dans le Parc Güell et goûter la nourriture locale.",A1,"They want to admire the famous Sagrada Familia, walk around Park Güell and taste the local food."
"Moi, je veux aller au zoo et à l’aquarium… et manger des glaces.",A1,"Me, I want to go to the zoo and the aquarium ... and eat ice cream."
Ma sœur préfère aller à la plage pour lire et bronzer.,A1,My sister prefers to go to the beach to read and sunbathe.
Nous séjournons pendant deux semaines à Barcelone.,A1,We are staying for two weeks in Barcelona.
J’espère qu’il y aura beaucoup de soleil.,A1,I hope there will be a lot of sun.
"Je n’aime pas la pluie, surtout pendant les vacances.",A1,"I don&#39;t like the rain, especially during the holidays."
Le rouge est une couleur vive.,A1,Red is a bright color.
"C’est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.",A1,"It is the color of many fruits and vegetables, such as tomatoes, strawberries or cherries."
"Le jaune est la couleur des bananes, du maïs ou des poussins par exemple.",A1,"Yellow is the color of bananas, corn or chicks, for example."
Le bleu est très présent dans la nature : c’est la couleur du ciel et de la mer.,A1,Blue is very present in nature: it is the color of the sky and the sea.
"Le rouge, le jaune et le bleu sont les trois couleurs primaires.",A1,"Red, yellow and blue are the three primary colors."
"En les mélangeant, on peut former d’autres couleurs.",A1,"By mixing them, we can form other colors."
"Le vert par exemple, est la couleur de l’herbe et des feuilles des arbres.",A1,"Green, for example, is the color of grass and leaves on trees."
"L’orange est la couleur de certains fruits, comme l’orange qui porte son nom, la clémentine ou l’abricot.",A1,"Orange is the color of certain fruits, such as the orange that bears its name, clementine or apricot."
Le violet se retrouve chez de nombreuses fleurs comme le lilas.,A1,Purple is found in many flowers such as lilac.
"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l’écorce des arbres.",A1,"Brown, also called chestnut, is the color of coffee, earth, and tree bark."
"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.",A1,"Finally, we also find white, like snow, and black, like night."
"Entre les deux, il y a le gris : c’est un mélange de blanc et de noir.",A1,"Between the two, there is gray: it is a mixture of white and black."
L’automne débute fin septembre.,A1,Autumn begins at the end of September.
"Durant cette saison, les feuilles des arbres tombent et couvrent le sol d’un tapis brun, rouge et jaune.",A1,"During this season, the leaves of the trees fall and cover the ground with a brown, red and yellow carpet."
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",A1,"The weather is getting colder and cooler, there is beginning to be rain and wind."
C’est le moment de sortir son manteau et son parapluie !,A1,It&#39;s time to take out your coat and umbrella!
"L’automne est aussi la saison des récoltes : on ramasse le maïs, le tournesol, les pommes, le raisin…",A1,"Autumn is also the harvest season: we collect corn, sunflowers, apples, grapes ..."
"Vient ensuite l’hiver, la saison la plus froide qui commence fin décembre.",A1,"Then comes winter, the coldest season that begins at the end of December."
Le paysage devient tout blanc à cause de la neige et de la glace.,A1,The landscape turns white with snow and ice.
Cette période marque l’arrivée de Noël et des fêtes de fin d’année.,A1,This period marks the arrival of Christmas and the end of year celebrations.
"Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.",A1,"With spring, which begins in March, the sun is back and the weather is warming up."
La nature redevient verte : l’herbe et les fleurs poussent à nouveau.,A1,Nature becomes green again: the grass and flowers are growing again.
"Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.",A1,"It is pleasant to walk around to observe butterflies, bees and listen to birdsong."
"Enfin, l’été arrive à la fin du mois de juin.",A1,"Finally, summer arrives at the end of June."
"C’est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage.",A1,"It is the hottest season, when we start to put on our sunglasses and go for a walk on the beach."
C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine.,A1,It is also the perfect time to enjoy the water and go for a swim in the sea or in the pool.
Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.,A1,I made it to London for my final year of university marketing studies.
Là-bas tout le monde parle anglais !,A1,Everyone speaks English there!
Londres est différent de Paris.,A1,London is different from Paris.
"Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes.",A1,"For example, the buses are red and some metro stations look very old."
Je partage un appartement avec deux autres étudiantes.,A1,I share an apartment with two other students.
L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans.,A1,One is called Jennifer and she is 21 and the other is called Ashley and she is 22.
Elles sont sympathiques.,A1,They are nice.
"Elles m’ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs.",A1,"They promised to show me all of London: we will visit museums, monuments and parks."
Nous irons aussi nous amuser à Camden Town et voir des concerts.,A1,We will also go to have fun in Camden Town and see concerts.
"Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden.",A1,And of course we&#39;ll go shopping in Oxford Street and the Covent Garden area.
"J’ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés !",A1,"I can&#39;t wait for you to come visit me next month, to show you my favorite places!"
Je m’appelle Marie.,A1,My name is Marie.
Ma famille se compose de quatre personnes.,A1,My family consists of four people.
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",A1,"My husband and I have two children, a seven year old daughter and a three year old boy."
"Nous avons également des animaux : un chat, un chien, deux lapins et des poissons rouges.",A1,"We also have animals: a cat, a dog, two rabbits and goldfish."
Nous vivons dans une jolie maison avec un grand jardin.,A1,We live in a lovely house with a large garden.
Notre quartier est calme et paisible.,A1,Our neighborhood is calm and peaceful.
Je suis secrétaire et je m’occupe de mes deux enfants quand ils rentrent de l’école.,A1,I am a secretary and I take care of my two children when they come home from school.
Mon mari est professeur d’anglais dans une école qui se trouve à 20 kilomètres de la maison.,A1,My husband is an English teacher in a school which is 20 kilometers from the house.
"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux.",A1,"On Sundays, we like to take a family walk in the forest near our house and play games."
Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.,A1,We play in the garden when the weather is nice or in the house when it rains.
Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.,A1,Our children&#39;s grandparents love to spend time with us on vacation.
"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre.",A1,"My husband&#39;s parents live a long way from us, but my parents have a house a few miles from us."
Les enfants aiment faire du vélo avec leur grand-père après l’école.,A1,Children love to ride bikes with their grandfather after school.
Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.,A1,My daughter sometimes bakes cakes with her grandmother on Saturday afternoons.
Nous les mangeons ensemble le samedi soir.,A1,We eat them together on Saturday evening.
Ma sœur habite également dans la même ville que nous.,A1,My sister also lives in the same city as us.
"Elle a trois enfants, deux garçons et une fille.",A1,"She has three children, two boys and a girl."
"Ils aiment venir passer le week-end à la maison, ainsi mes enfants jouent avec leurs cousins dans le jardin.",A1,"They like to come and spend the weekend at home, so my children play with their cousins in the garden."
J'habite une belle ville dans le nord de la France.,A1,I live in a beautiful city in the north of France.
"Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau.",A1,"There is a very pleasant area to go for a walk, when the weather is nice."
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,A1,It is possible to cycle in a park around a fortified citadel.
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants.",A1,"In the center of the city there is a very nice neighborhood, full of chic shops and good restaurants."
"Pour se déplacer, il y a des bus, des vélos et un métro.",A1,"To get around, there are buses, bicycles and a metro."
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande.",A1,"It&#39;s convenient to go from one mall to another, to go to school, to the swimming pool, to the stadium or even to the theater, because the city is very big."
Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.,A1,It is pleasant to walk through the small streets to admire the architecture of the old houses.
Je suis en vacances !,A1,I am on holiday !
J’en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,A1,I take this opportunity to sleep in and get out of bed at ten o&#39;clock.
Je prends mon petit-déjeuner dans la cuisine.,A1,I have breakfast in the kitchen.
"Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.",A1,"I eat two slices of bread, a large bowl of coffee and a berry yogurt."
Je vais ensuite prendre ma douche dans ma salle-de-bain.,A1,I will then take my shower in my bathroom.
J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial.,A1,I put on a pretty dress and head off to meet my friends at the mall.
"J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.",A1,"I buy a book, pants and a new lamp for my bedroom."
Il est l’heure de déjeuner !,A1,It is time for lunch !
Nous allons au restaurant.,A1,We&#39;re going to the restaurant.
Je commande du poisson avec de la purée.,A1,I order fish with mash.
"Cet après-midi, mes amis et moi allons au cinéma.",A1,This afternoon my friends and I are going to the movies.
"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus.",A1,"After drinking a cup of tea in a cafe, I go home by bus."
J’ai passé une très bonne journée de vacances.,A1,I had a very good day of vacation.
Vivement demain !,A1,Can&#39;t wait for tomorrow!
Et rejoignez-moi.,A1,And join me.
"Vous dormez, Robert ?",A1,"Are you asleep, Robert?"
T'es ridicule.,A1,You are ridiculous.
Qu'est-ce que vous voulez ?,A1,What do you want ?
J'aime les panoramas.,A1,I like the panoramas.
Je mange une pomme.,A1,I eat an apple.
La balle est partie.,A1,The ball is gone.
"Le lundi, David reste toute la journée à l’école.",A2,"On Mondays, David stays in school all day."
"Souvent, le soir, il pratique une activité musicale : le piano.",A2,"Often in the evening, he practices a musical activity: the piano."
Il y a des régions où les enfants ne vont pas à l’école le mercredi.,A2,There are areas where children do not go to school on Wednesdays.
"Le mercredi après-midi, il se détend et va jouer au football dans son club.",A2,"On Wednesday afternoon, he relaxes and goes to play football at his club."
"Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine.",A2,"On Sundays, he rests and takes the opportunity to do his homework for the week."
"Cher Lucas, Je t'écris de chez mes grands-parents à l'Aigle en Normandie où je passe de super vacances depuis maintenant une semaine.",A2,"Dear Lucas, I am writing to you from my grandparents at l&#39;Aigle in Normandy where I have been having a great vacation for a week now."
"Mes grands-parents possèdent 11 poules, 1 coq, 2 cochons, 5 canards, 2 chiens, 3 chats et 1 poney.",A2,"My grandparents own 11 hens, 1 rooster, 2 pigs, 5 ducks, 2 dogs, 3 cats and 1 pony."
Nous avons beaucoup de chance de pouvoir manger des légumes frais du jardin tous les jours.,A2,We are very lucky to be able to eat fresh vegetables from the garden every day.
J'espère que tu passes de bonnes vacances à Limoges. ,A2,I hope you have a good holiday in Limoges.
Je te dis à très bientôt pour une rentrée des classes en pleine forme !,A2,See you soon for a back-to-school season in great shape!
Il doit se dépêcher pour ne pas être en retard à l’école.,A2,He must hurry so as not to be late for school.
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.",A2,"Every morning, he follows the same routine: he starts by washing his face before taking a shower."
Théo vérifie qu’il a bien fait son lit avant de s’habiller et de partir à l’école,A2,Theo checks that he has made his bed correctly before getting dressed and going to school
"Il doit étudier et écrire pendant quatre heures le matin et il ne peut se reposer que vingt minutes au moment de la récréation, à dix heures du matin.",A2,"He has to study and write for four hours in the morning, and he can only rest for twenty minutes during recess at ten in the morning."
La cloche de l’école sonne à quatorze heures pour que tout le monde retourne en classe jusqu’à dix-sept heures.,A2,The school bell rings at two o&#39;clock so that everyone returns to class until five o&#39;clock.
"En été comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variées et d'animations diverses.",A2,"In summer as in winter, people jostle in these fantastic places filled with varied shops and various activities."
"En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours intéressant de passer du temps dans les centres commerciaux.",A2,"Indeed, even if you don&#39;t want to buy something, it is still worth spending time in shopping malls."
"Le centre commercial est l'endroit idéal pour passer un bon moment avec sa famille, ses amis ou ses collègues de travail.",A2,"The mall is the perfect place to have a good time with family, friends or coworkers."
Clément et Manon ont très faim et la pendule du salon sonne midi.,A2,Clément and Manon are very hungry and the clock in the living room strikes noon.
Ils décident d’aller au marché pour acheter les ingrédients qu’ils vont cuisiner.,A2,They decide to go to the market to buy the ingredients they are going to cook.
Ils vont cuisiner une quiche lorraine pour le repas.,A2,They are going to cook a Lorraine quiche for the meal.
Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied.,A2,But the market is far from their house and they cannot walk there.
Ils prennent donc leur voiture rouge et conduisent jusqu’à la place du village.,A2,So they take their red car and drive to the village square.
"Ils mettent tous leurs achats dans un grand sac puis, ils rentrent dans leur maison.",A2,They put all their purchases in a big bag and then they go back to their house.
"En France, il y a au total 11 fêtes pendant l’année.",A2,"In France, there are a total of 11 festivals during the year."
"Ce sont des jours fériés, c’est-à-dire des jours pendant lesquels on ne travaille pas.",A2,"These are public holidays, that is to say days when we do not work."
Certaines fêtes sont civiles et d’autre sont d’origine religieuses.,A2,Some festivals are civil and others are of religious origin.
Des feux d’artifices et des défilés militaires sont organisés.,A2,Fireworks and military parades are organized.
"Les familles se réunissent et partagent un bon repas le soir du 24 décembre, et on s’offre des cadeaux.",A2,"Families get together and share a good meal on the evening of December 24, and we give each other gifts."
"À cette occasion, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent à les chercher.",A2,"On this occasion, parents hide chocolate eggs in the house and in the garden, and the children have fun looking for them."
Noël a lieu le 25 décembre.,A2,Christmas takes place on December 25.
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.",A2,"My name is Camille and when I was a child, I had dreams in my head."
Je voulais être professeur et enseigner les mathématiques.,A2,I wanted to be a teacher and teach math.
"Pour moi, les médecins et les infirmières sont des héros sans costume.",A2,"To me, doctors and nurses are heroes without a costume."
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.,A2,He believed that a chef could eat pizza and fries every day.
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.",A2,"Then, older, I discovered the professions of police officer and lawyer in a film."
Je me disais alors que je voulais aussi combattre pour la justice.,A2,I said to myself then that I also wanted to fight for justice.
Je voulais poursuivre les criminels et défendre les gentils.,A2,I wanted to prosecute the criminals and defend the good guys.
Mais le monde ne fonctionne pas toujours ainsi.,A2,But not always the world works this way.
"Adolescent, je voulais devenir pompier.",A2,"As a teenager, I wanted to become a firefighter."
Mes parents m’encourageaient à devenir sapeur-pompier volontaire pour voir si cette carrière était réellement pour moi.,A2,My parents encouraged me to become a volunteer firefighter to see if this career was really for me.
J'étais donc lycéen et pompier à la fois.,A2,So I was a high school student and a firefighter at the same time.
"Mais ma plus grande passion, c'est l'art.",A2,But my biggest passion is art.
Je peins des tableaux dans mon studio.,A2,I paint pictures in my studio.
"Mon ami Thomas, lui, est dentiste.",A2,My friend Thomas is a dentist.
"Pourtant, quand on était petits, il détestait aller chez le dentiste.",A2,Yet when we were little he hated going to the dentist.
Il pleurait à chaque fois.,A2,He cried every time.
"Depuis un an, mon mari Cédric, nos trois enfants et moi allons au marché tous ensemble le dimanche matin.",A2,"For a year now, my husband Cédric, our three children and I have been going to the market together on Sunday mornings."
C'est notre petite tradition à nous cinq.,A2,It&#39;s our little tradition between the five of us.
"La semaine, je me lève à six heures du matin et mon mari à huit heures.",A2,During the week I get up at six in the morning and my husband at eight.
"Notre garçon de sept ans, et nos jumelles de quatre ans se lèvent quand ils veulent, mais pas plus tard que dix heures.",A2,"Our seven year old boy, and our four year old twins get up whenever they want, but no later than ten o&#39;clock."
"Nous aimons prendre le petit-déjeuner en famille et vers onze heures, nous nous rendons au marché.",A2,We like to have breakfast with the family and around eleven o&#39;clock we go to the market.
Nos filles aiment bien nous aider à choisir les fruits et légumes.,A2,Our daughters like to help us choose fruits and vegetables.
Nous avons l'habitude d'acheter quinze pommes.,A2,We used to buy fifteen apples.
Nous prenons également treize ou quatorze carottes.,A2,We also take thirteen or fourteen carrots.
"Au moment de payer, notre petit garçon est toujours volontaire.",A2,"When it comes time to pay, our little boy is always a volunteer."
Il préfère quand les sommes ne sont pas arrondies.,A2,He prefers when the sums are not rounded.
"Aujourd’hui, je vais te présenter ma famille.",A2,Today I will introduce you to my family.
"Je m’appelle Laurent et j’habite à Paris avec mes parents, ma sœur ainée et mon frère.",A2,"My name is Laurent and I live in Paris with my parents, my older sister and my brother."
Je vais à l’école pendant la journée.,A2,I go to school during the day.
Ma mère Gertrude tient une mercerie.,A2,My mother Gertrude runs a haberdashery store.
"Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents.",A2,"During the summer holidays, we go to the countryside with my grandparents."
Mon grand-père nous adore et nous offre de nombreux cadeaux.,A2,My grandfather adores us and gives us many gifts.
"Parfois, ma grand-mère Marie l’invite à la maison pour le déjeuner.",A2,Sometimes my grandmother Marie invites her over to the house for lunch.
Nous passons de bons moments à jouer ensemble dans le jardin.,A2,We have a good time playing together in the garden.
Ma sœur ainée a 14 ans.,A2,My older sister is 14 years old.
Elle joue du violon comme un grand artiste.,A2,She plays the violin like a great artist.
Mon frère Patrice est plus jeune que moi.,A2,My brother Patrice is younger than me.
Il sait écrire son nom.,A2,He can write his name.
"Chaque soir, j’accompagne ma mère en vélo pour faire une promenade dans le parc avec notre chien Snowy.",A2,"Every evening, I take my mom on my bike for a walk in the park with our dog Snowy."
Mon deuxième oncle Louis dit qu’il a des neveux adorables.,A2,My second uncle Louis says he has adorable nephews.
J’aime beaucoup toute ma famille.,A2,I love all my family.
Je viens d’emménager dans ma nouvelle maison.,A2,I just moved into my new home.
Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.,A2,My new house is white with blue shutters and red flowers.
J’ai un garage pour ma voiture et pour mon vélo.,A2,I have a garage for my car and for my bike.
"A l’intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",A2,Inside my house there is a large living room with a table and four chairs to accommodate my friends.
Mon chat adore se blottir sur le canapé devant la télévision.,A2,My cat loves to snuggle up on the sofa in front of the TV.
La cuisine est la pièce préférée de ma maison.,A2,The kitchen is my favorite room in my house.
C’est ici que je cuisine des gâteaux et des pâtisseries.,A2,This is where I cook cakes and pastries.
"Pour aller dans ma chambre, je dois monter un escalier.",A2,"To get to my room, I have to go up a flight of stairs."
"Elle se situe au bout du couloir, à droite.",A2,"It is located at the end of the corridor, on the right."
"A gauche, c’est ma salle de bain, avec vue sur mon jardin.",A2,"On the left is my bathroom, with a view of my garden."
Je me sens très bien dans ma nouvelle maison !,A2,I feel very good in my new home!
"Chaque jour, Alice se lève vers six heures et prend un petit-déjeuner composé de pain, de fromage et d’œufs.",A2,"Each day, Alice gets up around six and has a breakfast of bread, cheese and eggs."
"Ensuite, elle prend sa douche et se prépare pour filer en dix minutes vers la gare.",A2,"Then, she takes a shower and gets ready to go in ten minutes to the station."
"Le train qui l'emmène en ville est souvent bondé, les gens font grise mine durant le trajet de quinze minutes en consultant leurs smartphones, les écouteurs vissés aux oreilles alors que nous approchons de l'arrivée.",A2,"The train that takes him to town is often crowded, people look grim during the fifteen-minute journey by checking their smartphones, earphones screwed to their ears as we approach the finish line."
De longues heures s’enchaînent pendant lesquelles Alice et ses camarades apprennent de nouvelles choses.,A2,Long hours follow during which Alice and her comrades learn new things.
"L'après-midi, Alice va nager à la piscine.",A2,"In the afternoon, Alice goes swimming in the pool."
"Le soir venu, il faut rentrer en prenant le même chemin que le matin.",A2,"In the evening, you have to go home by taking the same path as in the morning."
"Elle fais ses devoirs puis prépare le dîner et finalement, elle regarde un film avant d'aller se coucher.",A2,She does her homework then cooks dinner and finally watches a movie before going to bed.
"Bonsoir, madame, en quoi puis-je vous aider ?",A2,"Good evening, ma&#39;am, how can I help you?"
"Bonsoir, J’ai une réservation pour 21h au nom de Smith.",A2,"Good evening, I have a reservation for 9 p.m. on behalf of Smith."
Je crains que la table ne soit pas encore disponible.,A2,I&#39;m afraid the table is not yet available.
"Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.",A2,"If you want to wait at the bar, we&#39;ll call you when it&#39;s ready."
"Excusez-moi, ça fait 30 minutes qu'on attend notre table.",A2,"Excuse me, we&#39;ve been waiting for our table for 30 minutes."
"Désolé pour le retard, nous sommes très occupés ce soir.",A2,"Sorry for the delay, we are very busy tonight."
Je vais aller vérifier.,A2,I&#39;ll go check it out.
Je m'entends à peine penser !,A2,I can hardly hear myself think!
Je vais m'en occuper.,A2,I&#39;ll take care of it.
Je vais parler au serveur et voir si on peut déplacer les tables.,A2,I&#39;ll talk to the waiter and see if we can move the tables.
"Excusez-moi, serait-il possible de changer de table ?",A2,"Excuse me, would it be possible to change tables?"
"Je vais leur demander de se calmer, pour que vous puissiez profiter de votre repas dans le calme.",A2,"I will ask them to calm down, so that you can enjoy your meal in peace."
Y a-t-il un problème avec votre table ?,A2,Is there a problem with your table?
"Normalement, c'est moi qui fais la cuisine le soir, mais samedi dernier, j'ai fait tout le ménage parce que ma mère était malade.",A2,"Normally, I&#39;m the one who cooks in the evening, but last Saturday I did all the cleaning because my mother was sick."
Je ne fais pas grand-chose à la maison.,A2,I don&#39;t do much at home.
"En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.",A2,"In fact, my mother prefers to do the housework on her own because I break everything."
Peut-être que j'aiderai mon père dans le jardin ce week-end.,A2,Maybe I&#39;ll help my dad in the garden this weekend.
"Je fais mon lit tous les jours, bien sûr; et je fais souvent la vaisselle.",A2,"I make my bed every day, of course; and I do the dishes often."
J'aime bien faire la cuisine aussi de temps en temps.,A2,I also like to cook from time to time.
Je n'aime pas sortir la poubelle et je déteste travailler dans le jardin.,A2,I don&#39;t like to take out the trash and I hate working in the garden.
Je préfère manger sain et garder la forme.,A2,I prefer to eat healthy and stay in shape.
Je ne suporte pas les plats gras.,A2,I do not support fatty dishes.
Je fais du sport tous les jours.,A2,I play sports every day.
"Il y a un an, j'ai décidé de ne plus manger de viande.",A2,"A year ago, I decided to stop eating meat."
C'est bien simple: je n'apprécie pas l'idée de tuer de pauvres animaux innocents.,A2,It&#39;s quite simple: I don&#39;t like the idea of killing poor innocent animals.
"À part ça, je fais du sport trois ou quatre fois par semaine.",A2,"Other than that, I exercise three or four times a week."
Et je me couche toujours de bonne heure.,A2,And I always go to bed early.
"En fait, j'étais végétarien pendant longtemps, mais j'ai fini par changer de régime, parce qu'à mon avis, les plats végétariens ont un goût fade.",A2,"In fact, I was a vegetarian for a long time, but ended up changing my diet, because in my opinion vegetarian food tastes bland."
"Même si je ne suis pas fanatique de fast-food, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.",A2,"Even though I&#39;m not a fast food fanatic, I don&#39;t see why I wouldn&#39;t eat pizza and burgers."
Je garde la forme en aidant de temps en temps à la maison ou dans le jardin.,A2,I keep in shape by helping out from time to time at home or in the garden.
Mes parents sont divorcés et je vis avec ma mère.,A2,My parents are divorced and I live with my mother.
Je vois mon père un week-end sur deux.,A2,I see my father every other weekend.
Ce n'est pas facile à vivre.,A2,It is not easy to live with.
"En plus, je ne m'entends pas très bien avec ma mère.",A2,"Besides, I don&#39;t get along very well with my mother."
On ne se comprend pas du tout.,A2,We don&#39;t understand each other at all.
Elle n'aime pas les gens que je fréquente.,A2,She doesn&#39;t like the people I hang out with.
"Elle me dit toujours qu'il faut lui parler de mes problèmes, mais quand j'en parle, elle s'énerve contre moi et on finit par se disputer.",A2,"She always tells me to talk to her about my problems, but when I do, she gets mad at me and we end up arguing."
"Je ne nie pas que parfois, c'est ma faute.",A2,I don&#39;t deny that sometimes it&#39;s my fault.
"C'est dommage parce que des fois, j'aimerais bien lui poser des questions et lui demander des conseils.",A2,It&#39;s a shame because sometimes I would like to ask him questions and ask him for advice.
"Alors, j'ai commencé à parler à ma grand-mère que j'admire beaucoup et je me suis découvert une nouvelle copine!",A2,"So, I started talking to my grandmother whom I admire a lot and I discovered myself a new girlfriend!"
La France a une longue histoire avec le dessin animé.,A2,France has a long history with cartoons.
"C’est un Français, Émile Reynaud qui proposa au public les premiers dessins animés du cinéma en 1882.",A2,"It was a Frenchman, Émile Reynaud, who offered the public the first cinema cartoons in 1882."
Les premières productions à succès furent des collaborations franco-belges.,A2,The first successful productions were Franco-Belgian collaborations.
Mais ces succès des animés français sont à relativiser.,A2,But these successes of French anime should be put into perspective.
Les productions américaines sont de loin les plus populaires dans l’Hexagone.,A2,American productions are by far the most popular in France.
"En effet, au classement des 50 films d’animation par nombre de spectateur en France, on compte une une production française seulement pour 49 américaines.",A2,"Indeed, in the ranking of the 50 animated films by number of spectators in France, there is only one French production for 49 Americans."
Le chemin est encore long pour que l’animé français soit à la hauteur de ses prestigieux concurrents.,A2,There is still a long way to go for the French anime to live up to its prestigious competitors.
"La Corona, créée en 1925, est la bière numéro 1 au Mexique et la quatrième marque la plus vendue dans le monde.",A2,"La Corona, created in 1925, is the number 1 beer in Mexico and the fourth best-selling brand in the world."
"Eh bien, ce n’est pas ce que pensent certaines personnes.",A2,"Well, that&#39;s not what some people think."
C’est en Italie que les deux mots sont le plus souvent associés.,A2,It is in Italy that the two words are most often associated.
"La requête est fréquente aussi aux États-Unis, au Canada, en Australie, en Inde et en Nouvelle-Zélande.",A2,"The query is also common in the United States, Canada, Australia, India and New Zealand."
Paul vient de finir son travail.,A2,Paul has just finished his work.
Il est en train de ranger ses affaires.,A2,He&#39;s putting his things away.
Il a plusieurs choses à faire ce soir.,A2,He has several things to do tonight.
"Il doit faire quelques courses, il compte aussi faire un peu de rangement.",A2,"He has to do some shopping, he also intends to do a little tidying up."
"Il sait bien cuisiner alors en général, il prépare aussi le repas.",A2,"He can cook well so in general, he also prepares the meal."
"Et ce soir, il peut prendre son temps car sa femme et ses enfants vont rentrer tard.",A2,"And tonight, he can take his time because his wife and children will be home late."
Il veut leur faire une surprise.,A2,He wants to surprise them.
Il pense leur préparer une tarte aux fraises.,A2,He thinks he&#39;s making a strawberry pie for them.
"Autrefois, on allumait toutes les bougies de la maison le soir de la Chandeleur.",A2,"In the past, we lit all the candles in the house on Candlemas evening."
La Chandeleur est une fête très ancienne.,A2,Candlemas is a very old celebration.
Elle est devenue au fil du temps une fête chrétienne.,A2,It has become over time a Christian feast.
La forme ronde et la couleur dorée des crêpes rappelleraient le soleil et donc le retour du printemps.,A2,The round shape and the golden color of the pancakes would remind the sun and therefore the return of spring.
Et les enfants adorent cette fête parce qu’on ne mange rien d’autre que des crêpes.,A2,And the kids love this party because we don&#39;t eat anything but pancakes.
"Cette année, ce n’est pas moins de 12 millions d’élèves qui ont repris le chemin de l’école.",A2,"This year, no less than 12 million students have returned to school."
La rentrée de cette année est marquée par trois changements notables.,A2,The start of this year is marked by three notable changes.
"Enfin, cette rentrée verra le retour de la semaine de quatre jours dans certains établissements.",A2,"Finally, this return to school will see the return of the four-day week in certain establishments."
"Chaque année, l’humanité consomme plus de ressources que la Terre ne peut en produire en un an.",A2,"Each year, humanity consumes more resources than the Earth can produce in a year."
